"bank","adresse","latitude","longitude","NOK","EUR","USD","GBP","DKK","SEK","aapningstider hverdag","aapningstid lordag","aapningstid sondag","kommentar"
"SpareBank 1 SR-Bank","Tastatunet 1-3, 4027 Stavanger","58.984441","5.691988","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Utforbi Tasta senteret"
"SpareBank 1 SR-Bank","Hundvågveien 46, 4085 Hundvåg","58.993003","5.730100","Ja","Ja","Ja","Ja","Ja","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Utforbi bank"
"SpareBank 1 SR-Bank","Stokkaveien 55, 4024 Stavanger","58.969685","5.715777","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Ute"
"SpareBank 1 SR-Bank","Domkirkeplassen 1, 4006 Stavanger","58.970199","5.732445","Ja","Ja","Nei","Ja","Nei","Nei","09:00-20:00","10:00-18:00","Stengt",""
"SpareBank 1 SR-Bank","Madlakrossen 5-9, Amfi Madla, 4090 Hafrsfjord","58.952656","5.678724","Ja","Nei","Nei","Nei","Nei","Nei","10:00-20:00","10:00-18:00","Stengt","Inne, Madla AMFI, 1etg"
"SpareBank 1 SR-Bank","Madlakrossen 5-9, Amfi Madla, 4090 Hafrsfjord","58.952672","5.678818","Ja","Nei","Nei","Nei","Nei","Nei","10:00-20:00","10:00-18:00","Stengt","Inne, Madla AMFI, 2etg"
"SpareBank 1 SR-Bank","Madlakrossen 5-9, Amfi Madla, 4090 Hafrsfjord","58.952674","5.678780","Nei","Ja","Ja","Ja","Ja","Nei","10:00-20:00","10:00-18:00","Stengt","Inne, Madla AMFI, 2etg"
"SpareBank 1 SR-Bank","Madlakrossen 5-9, Amfi Madla, 4090 Hafrsfjord","58.952482","5.680836","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Ute, Madla AMFI"
"SpareBank 1 SR-Bank","Breidablikkveien 3A, 4017 Stavanger","58.934842","5.740673","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Utforbi bank, mot hovedveien"
"SpareBank 1 SR-Bank","Domkirkeplassen 1, 4006 Stavanger","58.97016900000001","5.732669699999974","Ja","Ja","Nei","Ja","Ja","Nei","09:00-15:30 (Torsdag 09:00-17:30)","Stengt","Stengt"
"SpareBank 1 SR-Bank","Domkirkeplassen 1, 4006 Stavanger","58.97016900000001","5.732669699999974","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"SpareBank 1 SR-Bank","Lars Hertervigs gate 6, 4005 Stavanger","58.969875","5.728226","Ja","Nei","Nei","Nei","Nei","Nei","10:00-20:00","10:00-18:00","Stengt",""
"SpareBank 1 SR-Bank","Gartnerveien 16, 4016 STAVANGER","58.948045","5.728226","Ja","Ja","Nei","Nei","Nei","Nei","10:00-20:00","10:00-18:00","Stengt","Kilden, inne i kjøpesenteret."
"SpareBank 1 SR-Bank","Armauer Hansensvei 20, 4011 Stavanger","58.952524","5.732304","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","SUS, hovedinngang."
"SpareBank 1 SR-Bank","Bråde 2, 4046 Hafrsfjord","58.956653","5.636033","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Utsiden av Rema1000"
"SpareBank 1 SR-Bank","Haugesundsgaten 7, 4014 Stavanger","58.968343","5.752208","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Ute"
"NOKAS","Hjalmar Johansensgate 2, 4019 Stavanger","58.951047","5.727058","Ja","Nei","Nei","Nei","Nei","Nei","08:00-22:00","09:00-20:00","Stengt","Bekkefaret, Coop Prix"
"NOKAS","Pedersgata 19, 4013 Stavanger","58.969840","5.741009","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"NOKAS","Breiflåtveien 6, 4017 Stavanger","58.934099","5.743348","Ja","Nei","Nei","Nei","Nei","Nei","09:00-21:00","09:00-19:00","Stengt","OBS Mariero. Inne."
"SpareBank 1 SR-Bank","Boganesveien 10, 4020 Stavanger","58.920611","5.724706","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Rema 100 Hinna. Ute."
"SpareBank 1 SR-Bank","Petroleumsveien 6, 4033 Stavanger","58.892301","5.722172","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Ute."
"DNB","Haakon VIIs gate 9, 4005 Stavanger","58.969358","5.730411","Ja","Ja","Ja","Ja","Ja","Nei","06:00-24:00","06:00-27:00","Stengt",""
"DNB","Haakon VIIs gate 9, 4005 Stavanger","58.969358","5.730411","Ja","Ja","Ja","Ja","Ja","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"DNB","Lagerveien 2, 4033 Stavanger","58.89588","5.70328","Ja","Ja","Nei","Nei","Nei","Nei","10:00-20:00","10:00-18:00","Stengt","Tvedt kjøpesenter, Inne, 1etg."
"Nordea","Olav V gate 11, 4005 Stavanger","58.966621","5.731050","Ja","Ja","Ja","Nei","Ja","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"Nordea","Olav V gate 11, 4005 Stavanger","58.966621","5.731050","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"Nordea","Nygata 2, 4006 Stavanger","58.970827","5.733661","Ja","Ja","Ja","Nei","Ja","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"Nordea","Østervåg 5, 4006 Stavanger","58.971407","5.735665","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"Handelsbanken","Verksgata 30, 4013 Stavanger","58.971239","5.740347","Ja","Nei","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent","Utforbi Kanelsnurren"
"Sandnes Sparebank"," Haakon VII gate nr 7, 4005 Stavanger","58.9696642","5.730856300000028","Ja","Ja","Nei","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
"Sparebank Vest","Haakon VIIs gate 7, 4005 Stavanger","58.969397","5.730575","Ja","Ja","Ja","Nei","Nei","Nei","Døgnåpent","Døgnåpent","Døgnåpent",""
